ingredient,function,risk_level
talc,แร่ทัลก์ ช่วยให้เนื้อแป้งเนียนนุ่มลื่น (ผิวแพ้ง่ายมากควรระวัง),Warning
tartaric acid,AHA จากผลไม้ ช่วยปรับสมดุล pH และผลัดผิว,Safe
tea-lauryl sulfate,สารทำความสะอาด (ระคายเคืองผิวและตา),Warning
tetrahexyldecyl ascorbate,อนุพันธ์วิตามินซีละลายในน้ำมัน อ่อนโยนมาก,Safe
tetrasodium edta,สารรักษาความคงตัวของผลิตภัณฑ์,Safe
theobroma cacao seed butter,โกโก้บัตเตอร์ ชุ่มชื้นสูง (เสี่ยงอุดตัน),Warning
thimerosal,สารกันเสียที่มีปรอทเป็นส่วนประกอบ (ห้ามใช้ในเครื่องสำอางเด็ดขาด),Danger
thioctic acid,กรดอัลฟ่าไลโปอิก (ALA) ต้านริ้วรอยระดับเซลล์,Safe
tin oxide,แร่ธาตุให้ประกายมุก มักผสมกับไมก้า,Safe
tinosorb m,(Methylene Bis-Benzotriazolyl Tetramethylbutylphenol) กันแดดเสถียรสูง,Safe
titanium dioxide,สารกันแดดและสารให้สีขาว (มักเจอในแป้งพัฟและกันแดด),Safe
tocopherol,วิตามินอี ต้านอนุมูลอิสระ ปกป้องผิวจากความชรา,Safe
tocopheryl acetate,อนุพันธ์วิตามินอี ต้านอนุมูลอิสระ เสถียรสูง,Safe
toluene,ทินเนอร์ มักพบในน้ำยาทาเล็บ (สูดดมแล้วอันตรายต่อระบบประสาท),Danger
tranexamic acid,ลดรอยแดง รอยดำ ฝ้าแดดฝังลึก,Safe
trehalose,น้ำตาลธรรมชาติ ปกป้องเซลล์ผิวจากความแห้ง,Safe
triclocarban,สารต้านแบคทีเรีย (สบู่ก้อน) รบกวนฮอร์โมน,Danger
triclosan,สารยับยั้งแบคทีเรีย เสี่ยงสะสมและรบกวนฮอร์โมน,Danger
triethanolamine,สารปรับค่า pH (ถ้าเข้มข้นสูงหรือทิ้งไว้นานอาจระคายเคือง),Warning
tromethamine,สารปรับค่า pH ให้คงที่,Safe
ubiquinone,โคเอนไซม์คิวเทน (CoQ10) ลดริ้วรอย,Safe
ultramarines,เม็ดสีน้ำเงิน/ม่วง/ชมพู ปลอดภัย,Safe
urea,ยูเรีย ให้ความชุ่มชื้นและผลัดเซลล์ผิว,Safe
uvinul t 150,(Ethylhexyl Triazone) กันแดด UVB ประสิทธิภาพสูงสุด,Safe
vitis vinifera seed extract,สารสกัดเมล็ดองุ่น ต้านริ้วรอย,Safe
water,น้ำบริสุทธิ์ ตัวทำละลายหลักในผลิตภัณฑ์,Safe
xanthan gum,สารเพิ่มความหนืดจากธรรมชาติ ปลอดภัย,Safe
zinc oxide,สารกันแดดแบบสะท้อนแสง ปลอดภัยต่อผิวแพ้ง่าย,Safe
zinc pca,ลดความมันส่วนเกินและมีฤทธิ์ฆ่าเชื้อแบคทีเรียสิว,Safe
